y,u,Iu,Iv,Iw,xLu,yLu,zLu
6.0,10.25187330005961,0.31216941165343853,0.15608470582671927,0.24973552932275084,155.92239363664757,77.96119681832378,46.77671809099427
7.5,11.015506097287076,0.2901994465201371,0.14509972326006856,0.2321595572161097,155.92239363664757,77.96119681832378,46.77671809099427
9.0,11.639439523054724,0.274331972261714,0.137165986130857,0.21946557780937123,155.92239363664757,77.96119681832378,46.77671809099427
10.5,12.166967717966573,0.262140182264222,0.131070091132111,0.2097121458113776,155.92239363664757,77.96119681832378,46.77671809099427
12.0,12.623933425767648,0.2523647634139311,0.12618238170696555,0.2018918107311449,155.92239363664757,77.96119681832378,46.77671809099427
13.5,13.027005746049836,0.24427907450373265,0.12213953725186633,0.19542325960298612,155.92239363664757,77.96119681832378,46.77671809099427
15.0,13.387566222995112,0.23743060405144126,0.11871530202572063,0.189944483241153,155.92239363664757,77.96119681832378,46.77671809099427
16.5,13.713732848826682,0.2315208474906937,0.11576042374534685,0.18521667799255498,155.92239363664757,77.96119681832378,46.77671809099427
18.0,14.01149964876276,0.22634381265509596,0.11317190632754798,0.18107505012407676,155.92239363664757,77.96119681832378,46.77671809099427
19.5,14.285418551632306,0.22175209772898946,0.11087604886449473,0.17740167818319158,155.92239363664757,77.96119681832378,46.77671809099427
21.0,14.53902784367461,0.2176370331327278,0.1088185165663639,0.17410962650618225,155.92239363664757,77.96119681832378,46.77671809099427
22.5,14.775132445990225,0.21391647890554197,0.10695823945277098,0.1711331831244336,155.92239363664757,77.96119681832378,46.77671809099427
24.0,14.995993551475681,0.21052701752266761,0.10526350876133381,0.1684216140181341,155.92239363664757,77.96119681832378,46.77671809099427
25.5,15.203460669686747,0.20741878545634773,0.10370939272817387,0.1659350283650782,155.92239363664757,77.96119681832378,46.77671809099427
27.0,15.399065871757873,0.2045519500217794,0.1022759750108897,0.16364156001742353,155.92239363664757,77.96119681832378,46.77671809099427
28.5,15.584092520181155,0.2018942460548018,0.1009471230274009,0.16151539684384145,155.92239363664757,77.96119681832378,46.77671809099427
30.0,15.75962634870315,0.19941921492264122,0.09970960746132061,0.15953537193811299,155.92239363664757,77.96119681832378,46.77671809099427
31.5,15.926594066669722,0.19710492068930935,0.09855246034465467,0.1576839365514475,155.92239363664757,77.96119681832378,46.77671809099427
33.0,16.08579297453472,0.19493299767565345,0.09746649883782672,0.15594639814052277,155.92239363664757,77.96119681832378,46.77671809099427
34.5,16.237913990776228,0.1928879327478778,0.0964439663739389,0.15431034619830225,155.92239363664757,77.96119681832378,46.77671809099427
36.0,16.383559774470797,0.19095651682323675,0.09547825841161837,0.1527652134585894,155.92239363664757,77.96119681832378,46.77671809099427
37.5,16.523259145930616,0.1891274203224045,0.09456371016120226,0.15130193625792362,155.92239363664757,77.96119681832378,46.77671809099427
39.0,16.657478677340343,0.18739086072938255,0.09369543036469127,0.14991268858350604,155.92239363664757,77.96119681832378,46.77671809099427
40.5,16.78663209475299,0.18573833950503937,0.09286916975251969,0.1485906716040315,155.92239363664757,77.96119681832378,46.77671809099427
42.0,16.911087969382645,0.18416243185394407,0.09208121592697203,0.14732994548315526,155.92239363664757,77.96119681832378,46.77671809099427
43.5,17.031176058633097,0.1826566172178004,0.0913283086089002,0.14612529377424033,155.92239363664757,77.96119681832378,46.77671809099427
45.0,17.147192571698262,0.1812151414727409,0.09060757073637045,0.14497211317819272,155.92239363664757,77.96119681832378,46.77671809099427
